gpcf_google_product_category	root	node_01	node_02	node_03	node_04	manufacturer	manufacturer_sku	gtin	dun	base_product	product	sub_product	brand	sub_brand	line	sub_line	model	sub_model	size	size_type	size_system	gender	age_group	mkt_pack_name	gtin_pack_type	gtin_pack_name	gtin_pack_name_variant	gtin_pack_uom_qty	gtin_pack_uom	gtin_pack_uom_variant	gtin_internal_pack_uom_qty	gtin_internal_pack_uom	gtin_internal_pack_uom_variant	base_uom	base_uom_equivalence	label_uom_01_qty	label_uom_01	label_uom_01_variant	label_uom_02_qty	label_uom_02	label_uom_02_variant	dun_pack	dun_pack_qty
2126	alimentos					tanoni hnos sa		7793065000377		aceite comestible	aceite comestible vegetal	aceite comestible vegetal mezcla	indigo												single pack	botella	pet	900,00	mililitro					litro	0,0010								12
2126	alimentos					bunge argentina sa		7794870000330		aceite comestible	aceite comestible vegetal	aceite comestible vegetal mezcla	siglo de oro												single pack	botella	pet	900,00	mililitro					litro	0,0010								12
2126	alimentos					molino canuelas sacifia		7792180007988		aceite comestible	aceite comestible vegetal	aceite comestible vegetal puro girasol	canuelas												single pack	bidon	pet	5,00	litro					litro	1,0000								4
2126	alimentos					arcor saic		7790580138745		aceite comestible	aceite comestible vegetal	aceite comestible vegetal puro maiz	arcor												single pack	botella	pet	890,00	mililitro					litro	0,0010								12
2126	alimentos					molinos rio de la plata sa		7790070231697		aceite comestible	aceite comestible vegetal	aceite comestible vegetal puro maiz	lira												single pack	botella	pet	900,00	mililitro					litro	0,0010								12
2126	alimentos					molinos rio de la plata sa		7790070226372		aceite comestible	aceite comestible vegetal	aceite comestible vegetal puro oliva extra virgen	cocinero												single pack	botella		1,00	litro					litro	1,0000								12
2949	higiene	personal	cosmetica	piel		algabo sa		7791274001567		aceite humectante	aceite humectante corporal	aceite humectante corporal bebe	algabo		baby		humecta y suaviza								single pack	botella		200,00	mililitro					litro	0,0010								12
2949	higiene	personal	cosmetica	piel		sc johnson y son de argentina saic		7790010959780		aceite humectante	aceite humectante corporal	aceite humectante corporal bebe	johnsons		baby		puro								single pack	botella		100,00	mililitro					litro	0,0010								12
2949	higiene	personal	cosmetica	piel		sc johnson y son de argentina saic		7790010959797		aceite humectante	aceite humectante corporal	aceite humectante corporal bebe	johnsons		baby		puro								single pack	botella		200,00	mililitro					litro	0,0010								12
2949	higiene	personal	cosmetica	piel		sc johnson y son de argentina saic		7790010959803		aceite humectante	aceite humectante corporal	aceite humectante corporal bebe	johnsons		baby		aloe vera y vitamina e								single pack	botella		100,00	mililitro					litro	0,0010								12
2949	higiene	personal	cosmetica	piel		sc johnson y son de argentina saic		7790010960021		aceite humectante	aceite humectante corporal	aceite humectante corporal bebe	johnsons		baby		aloe vera y vitamina e								single pack	botella		200,00	mililitro					litro	0,0010								12
4894	ferreteria	lubricantes	penetrantes			akapol sa		7790400021806	17790400021803	aceite lubricante	aceite lubricante multiuso	aceite lubricante multiuso penetrante aerosol	wd 40		clasico										single pack	aerosol	aerosol con canula	216,00	mililitro					litro	0,0010	155,00	gramo						12
4894	ferreteria	lubricantes	penetrantes			akapol sa		7790400021813	17790400021810	aceite lubricante	aceite lubricante multiuso	aceite lubricante multiuso penetrante aerosol	wd 40		clasico										single pack	aerosol	aerosol con canula	432,00	mililitro					litro	0,0010	311,00	gramo						12
4894	ferreteria	lubricantes	penetrantes			akapol sa		7790400030358	17790400030355	aceite lubricante	aceite lubricante multiuso	aceite lubricante multiuso penetrante aerosol	wd 40		flexitapa										single pack	aerosol	aerosol con canula	306,00	mililitro					litro	0,0010	220,00	gramo						12
4894	ferreteria	lubricantes	penetrantes			akapol sa		79567560029	10079567560026	aceite lubricante	aceite lubricante multiuso	aceite lubricante multiuso penetrante seco aerosol	wd 40		specialist										single pack	aerosol	aerosol con canula	339,00	mililitro					litro	0,0010	226,00	gramo						6
4894	ferreteria	lubricantes	penetrantes			akapol sa		79567560012	10079567560019	aceite lubricante	aceite lubricante multiuso	aceite lubricante multiuso penetrante silicon aerosol	wd 40		specialist										single pack	aerosol	aerosol con canula	309,00	mililitro					litro	0,0010	226,00	gramo						6
4894	ferreteria	lubricantes	penetrantes			akapol sa		79567560005	10079567560002	aceite lubricante	aceite lubricante multiuso	aceite lubricante quita oxido penetrante aerosol	wd 40		specialist										single pack	aerosol	aerosol con canula	274,00	mililitro					litro	0,0010	226,00	gramo						6
543616	higiene	personal	salud	capilar	piojicidas	algabo sa		7791274199905		acondicionador capilar	acondicionador capilar piojicida	acondicionador capilar piojicida infantil	algabo		kids										single pack	botella		500,00	mililitro					litro	0,0010								11
543616	higiene	personal	cosmetica	capilar	acondicionadores	algabo sa		7791274197000		acondicionador capilar	acondicionador capilar uso diario	acondicionador capilar uso diario	algabo		brillo		manzanilla y magnolia								single pack	doy pack		300,00	mililitro					litro	0,0010								12
543616	higiene	personal	cosmetica	capilar	acondicionadores	algabo sa		7791274198205		acondicionador capilar	acondicionador capilar uso diario	acondicionador capilar uso diario	algabo		brillo		manzanilla y magnolia								single pack	botella		930,00	mililitro					litro	0,0010								12
543616	higiene	personal	cosmetica	capilar	acondicionadores	algabo sa		7791274199493		acondicionador capilar	acondicionador capilar uso diario	acondicionador capilar uso diario	algabo		brillo		manzanilla y magnolia								single pack	doy pack		930,00	mililitro					litro	0,0010								12
543616	higiene	personal	cosmetica	capilar	acondicionadores	algabo sa		7791274198816		acondicionador capilar	acondicionador capilar uso diario	acondicionador capilar uso diario	algabo		detox		pepino y te verde								single pack	botella		930,00	mililitro					litro	0,0010								12
543616	higiene	personal	cosmetica	capilar	acondicionadores	algabo sa		7791274198854		acondicionador capilar	acondicionador capilar uso diario	acondicionador capilar uso diario	algabo		detox		pepino y te verde								single pack	doy pack		300,00	mililitro					litro	0,0010								12
543616	higiene	personal	cosmetica	capilar	acondicionadores	algabo sa		7791274199509		acondicionador capilar	acondicionador capilar uso diario	acondicionador capilar uso diario	algabo		detox		pepino y te verde								single pack	doy pack		930,00	mililitro					litro	0,0010								12
